CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,cell_cycle_theta
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J16.out.bam,1316135,64097,1316135.0,942491.56,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K02.out.bam,942810,83485,942810.0,935686.06,0.06999999999999995
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K03.out.bam,1169788,64511,1169788.0,938790.9,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K04.out.bam,889369,61093,889369.0,940956.8,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K05.out.bam,544512,113685,544512.0,984312.0,0.92
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K06.out.bam,1071202,54268,1071202.0,961335.25,0.07999999999999996
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K07.out.bam,1145815,76374,1145815.0,963716.94,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K08.out.bam,1139873,60063,1139873.0,885348.3,0.13
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K09.out.bam,888772,57644,888772.0,980187.94,0.040000000000000036
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K10.out.bam,1171136,141372,1171136.0,935329.25,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K11.out.bam,774350,67621,774350.0,984450.94,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K12.out.bam,1272888,60673,1272888.0,939564.6,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K15.out.bam,1196727,108653,1196727.0,921855.06,0.94
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_K16.out.bam,1499247,189439,1499247.0,957447.9,0.56
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L02.out.bam,618851,106198,618851.0,963896.3,1.0
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L03.out.bam,638362,44054,638362.0,957716.1,0.96
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L04.out.bam,566097,44282,566097.0,955097.0,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L05.out.bam,1458343,218496,1458343.0,976491.7,0.49
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L06.out.bam,1249765,60244,1249765.0,956394.94,0.14
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L07.out.bam,351723,45810,351723.0,946953.06,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L08.out.bam,445878,39012,445878.0,983340.4,0.020000000000000018
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L09.out.bam,598573,272984,598573.0,904380.0,0.42999999999999994
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L10.out.bam,564630,59991,564630.0,942793.44,0.020000000000000018
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L12.out.bam,562191,63650,562191.0,850967.3,0.98
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L13.out.bam,570277,38485,570277.0,939206.75,0.14
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L14.out.bam,1429989,55870,1429989.0,964297.0,0.13
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L15.out.bam,1021057,42363,1021057.0,964280.25,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_L16.out.bam,1462004,56613,1462004.0,969025.3,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M02.out.bam,899273,76312,899273.0,962038.0,0.020000000000000018
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M03.out.bam,1191598,82217,1191598.0,973430.8,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M04.out.bam,1106197,69732,1106197.0,949800.7,0.97
